ASJP_NAME,AUTHOR,YEAR,TITLE_ETC,LIST_MADE_BY
ACEH,"Daud, Bukhari and Mark Durie",1999,Kamus Basa Aceh. Kamus Bahasa aceh. Acehnese-Indonesian-English Thesaurus. Canberra: Pacific Linguistics.,SW/VV
ACHAEMENID_ARAMAIC,"Bennett, Patrick R.",1998,"Comparative semitic linguistics: A manual. Winona Lake, Indiana: Eisenbrauns.",AM
ACHAGUA,"Huber, Randall Q. and Robert B. Reed",1992,Comparative vocabulary: Selected words in indigenous languages of Colombia. Bogotá: Summer Institute of Linguistics.,CB
ACHANG,"Peiros, Ilia",1998,Comparative linguistics in Southeast Asia. Pacific Linguistics C-142. Canberra: Australian National University.,CB
ACHE,"Heckart, Claudia J. and Kim Hill",2015,"Aché dictionary. In: Key, Mary Ritchie and Comrie, Bernard (eds.), The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/contributions/288.)",AM
ACHOLI,"Kitching, Rt. Rev. A. L.",n.d.,An outline grammar of the Acholi language. London: The Sheldon Press.,VV
ACHOLI_2,"Blount, B. and R. T. Curley",1970,The Southern Lou languages: A glottochronological reconstruction. Journal of African Languages 9(1). 1-18.,SW
ACHUAR,"Ghinassi, P. Juan",1938,"Gramática teórico-prática y vocabulario de la lengua Jibara. Quito, Ecuador: Talleres Gráficos de Educación.",
ACHUMAWI,"Olmsted, David L.",1966,Achumawi dictionary. Berkeley: University of California Press.,CB
ACOMA_KERES,"Miller, Wick R. and Irvine Davis",1963,Proto-Keresan phonology. International Journal of American Linguistics 29. 310-330.,SW
ADANG,"Robinson, Laura C. and Gary Holton",2012,Internal classification of the Alor-Pantar language family using computational methods applied to the lexicon. Language Dynamics and Change 2(2). 123-149.,AKW
ADANG_PITUNG,"Klamer, Marian",n.d.,[Data supplied by Marian Klamer.],VV
ADANGBE,"Kropp Dakubu, Mary E.",1976,West African language data sheets: Volume 1. West African Linguistic Society.,TVV
ADELE,"Heine, Bernd",1968,Die Verbreitung und Gliederung der Togorestsprachen. Berlin: Dietrich Reimar Verlag.,VV
ADHOLA,"Heusing, Gerald",2004,"Die südliche Lwoo-Sprachen: Beschreibung, Vergleich und Rekonstruktion. Köln: Rüdiger Köppe Verlag.",ZM
ADI_GALO,"Post, Mark William",2007,"A grammar of Galo. Ph.D. dissertation, La Trobe University Research Centre for Linguistic Typology.",SS
ADILABAD_GONDI,"Maheshwar Rao, Garapati Uma",2008,A comparative grammar of the Gondi dialects. Kuppam: Dravidian University.,AKW
ADIOUKROU,"Hérault, Georges",1977,"Adioukrou. In Kropp Dakubu, M. E. (ed.), West African language data sheets I. Leiden: West African Linguistic Society with African Studies Centre.",VV
ADIOUKROU_2,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
ADIWASI_GARASIA,"Grierson, George A.",1907,"Indo-Aryan family: Central group: The Bhi?l languages, including Kha?nde?s?i?m Banja?ri? or Labha?ni?, Bahru?pia?, &c (Linguistic Survey of India IX(III)). Calcutta: Office of the Superintendent of Goverment Printing.",TVV
ADNYAMATHANHA,,,,ZM
ADORA,"DeVries, Jim",1978,"Adora survey wordlist. Ms.; Erickson, Carol. 1974. Adora. Ms.",MSD
ADUMANIS_ULU_KOMERING,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=595 (accessed November 2009),SS
ADYGHE,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.,AM
ADYGHE_2,"??????, ?. ?. and ?. ?. ??????",1991,"??????? ??????-?????????? ???????. In ???????, ?. ?. (ed.).; ????????, ?. ?. 1991. ?????????-??????? ???????. In ?????, ?. ?. (ed.) ??????: ?????????? ??????? ????????????.; http://northeuralex.org/languages/ady (accessed 2020-01-27).",SW
ADZERA,"Tryon, Darrell T. (ed.). ",1995,Comparative Austronesian dictionary. Berlin: Mouton de Gruyter.,VV/MD
AEKA,"McElhanon, K. A. and C. L. Voorhoeve",1970,The Trans-New Guinea Phylum: Explorations in deep-level genetic relationships. Canberra: Pacific Linguistics.,SW/MSD
AEKA_2,"Smallhorn, J.",2011,The Binanderean languages of Papua New Guinea: reconstruction and subgrouping. Canberra: Pacific Linguistics.,SW/MSD
AEKA_3,"Wilson, D.",1969,The Binandere language family. Papers in New Guinea Linguistics No. 9. Canberra: Pacific Linguistics.,SW/MSD
AEKYOM,"McElhanon, K. A. and C. L. Voorhoeve",1970,The Trans-New Guinea Phylum: Explorations in deep-level genetic relationships. Canberra: Pacific Linguistics.,SW/MSD
AEKYOM_2,"Austen, Leo",1923,"Daru Station, Western Division: Name of Village - Amnat. Commonwealth of Australia. Papua: Annual Report for the Year 1921-1922. 161-161.",MSD
AFADE,"Benton, Philip A.",1912,Notes on some languages of the Western Sudan. Oxford: University Press.,JB
AFAR,"Black, Paul David",1974,"Lowland East Cushitic: Subgrouping and reconstruction. Ph.D. dissertation, Yale University.",AM
AFAR_2,"Bender, M. Lionel",1971,The languages of Ethiopia: A new lexicostatistic classification and some problems of diffusion. Anthropological Linguistics 13. 165-288.,AM
AFAR_3,"Parker, Enid M. and Richard J. Hayward",1985,"An Afar-English-French dictionary (with grammatical notes in English). London: School of Oriental and African Studies (SOAS), University of London.",SW/GS
AFI_AMANDA,"Blench, Roger",2006,"Wordlists of Batu, Kamino and Buru languages spoken in southern Taraba State, Nigeria. ( http://www.rogerblench.info/Language/Niger-Congo/Bantoid/Tivoid/Batu%20and%20Buru.pdf ) November 25, 2006.",VV
AFITTI,"Bender, M. Lionel",2000,Roland C. Stevenson's Nyimang and Dinik Lexicon. Afrikanistische Arbeitspapiere 63. 103-120.,JB
AFRIKAANS,Anonymous,,Wiktionary,AM
AGALA,"Shaw, R. Daniel",1986,The Bosavi language family. Papers in New Guinea linguistics 24. 45-76. Pacific Linguistics A-70. Canberra: Australian National University.,MD/OB
AGARABI,"Capell, Arthur",1948,"Distribution of Languages in the central highlands, New Guinea. Oceania 19(2). 104-129.",SW
AGHEM,"Hyman, Larry Michael (ed.)",1979,"Aghem grammatical structure, with special reference to noun classes, tense-aspect and focus marking. Los Angeles: Department of Linguistics, University of Southern California.",SW/GS
AGHEM_2,"Paulin, Pascale",1995,"Etude comparative des langues du groupe Ring - langues Grassfields de l'ouest, Cameroun. Lyon: Université Lumière - Lyon 2.",SW/GS
AGHEM_ISU,"Piron, Pascale",1997,Classification interne du groupe bantoïde I. München: Lincom Europa.,VV
AGHEM_WEH,"Piron, Pascale",1998,Classification interne du groupe bantoïde I. München: Lincom Europa.,VV
AGHEM_WUM,"Piron, Pascale",1999,Classification interne du groupe bantoïde I. München: Lincom Europa.,VV
AGHU,"Healey, A.",1970,"Proto-Awyu-Dumut Phonology. In Wurm, S.A. and Laycock, D. C. (eds). Pacific Linguistic Studies in honour of Arthur Capell. Pacific Linguistics: Canberra.",SW/MSD
AGHU_2,"Voorhoeve, C. L.",1975,"Languages of Irian Jaya, Checklist: preliminary classification, language maps, wordlists. (Pacific Linguistics: Series B, 31.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",JB
AGHU_THARRNGGALA,"Jolly, Lesley",1989,"Aghu Tharrnggala: A Language of the Princess Charlotte Bay Region of Cape York Peninsula. Honors thesis, The University of Queensland.",JB
AGI,"Tucker, A. N.",1967,The Eastern Sudanic languages I. London: International African Institute.,VV
AGI_AGEI,"Dryer, Matthew",n.d.,[Data supplied by Matthew Dryer.],SW
AGI_YOLPA,"Dryer, Matthew",n.d.,[Data supplied by Matthew Dryer.],SW
AGNI_ANYIN,"Burmeister, Jonathan L.",1983,"L’agni. Atlas des langues kwa de Côte d?Ivoire 1. Paris &amp; Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d’Abidjan.",SW/GS
AGNI_ANYIN_2,"Hérault, Georges (ed.)",1983,"Atlas des langues kwa de Côte d?Ivoire 2. Paris & Abidjan: Agence de Coopération Culturelle et Technique (ACCT); Institut de Linguistique Appliquée (ILA), Université d?Abidjan.",SW/GS
AGNI_INDENIE,"Adouakou, Sandrine",2005,Tons et intonation dans la langue agni indénié. Bielefeld: Bielefeld University.,SW/GS
AGNI_INDENIE_2,"Keita, Mamadou",2008,"Système morpho-phonologique de l'agni. Complexité vocalique, complexité tonale et récupération du gabarit en agni. Paris: Université Paris 7.",SW/GS
AGOB_DABU,"Riley, Baxter E. and Sidney H. Ray",1930,"1930, 1931. Sixteen Vocabularies from the Fly River, Papua.  Anthropos XXV, XXV, XXVI. 173-193, 831-850, 171-192.",
AGOI,"Blench, Roger M.",2014,The Upper Cross languages: a comparative study. Manuscript in preparation.,MSD
AGOI_2,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
AGRA_GUJARI,"Rensch, Calvin R., Calinda E. Hallberg, and Clare F. O'Leary",1992,"Sociolinguistic survey of Northern Pakistan 3: Hindko and Gujari. SIL and National Institute of Pakistani Studies, Quaid-i-Azam University.",
AGTA,"Reid, Lawrence A. (ed.)",1971,Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication No. 8. Honolulu: University of Hawai'i Press.,AKW
AGUACATEC,"McArthur, Harry S.",1976,Aguacatec vocabulary with grammatical notes. Chicago: University of Chicago Library Microfilm Collection of Manuscripts on Middle American Cultural Anthropology.,CB
AGUACATECO_AGUACATAN,"Kaufman, Terrence S.",1970,"Proyecto de alfabetos y ortografias para escribir las lenguas mayances. Guatemala, C.A.: Proyecto Lingüístico Francisco Marroquín-Ministerio de Educacion Ediciones Idiomas Guatemaltecos.",PB
AGUARUNA,Anonymous,1979,"Palabras y frases utiles en algunos idiomas de la Selva Peruana. Perú: Instituto Lingüístico de Verano.; Larson, Mildred. 1957. Comparación de los vocabularios Aguaruna y Huambisa. Cuzco, Perú: Revista Peruana de Cultura.; Larson, Mildred. 1958. Vocabulario comparado de las lenguas Aguaruna y Castellana. Perú: Instituto Lingüístico de Verano.; Larson, Mildred L. 1966. Vocabulario Aguaruna de Amazonas. Perú: Instituto Lingüístico de Verano.; Mori, Angel Corbera. 1981. Glosario Aguaruna-Castellano. Lima, Perú: Universidad Nacional Mayor de San Marcos.",CB
AGUARUNA_2,"Wipio, Gerardo",1996,"Diccionario aguaruna-castellano, castellano-aguaruna. Lima: Instituto Lingüístico de Verano.",PE/SW
AGUL,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,"Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.; Timur Maisak, personal communication 2012",AM
AGWAGWUNE,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
AGWAGWUNE_2,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
AGWAGWUNE_3,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
AGWAGWUNE_4,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
AGWAGWUNE_5,"Blench, Roger M.",2014,The Upper Cross languages: a comparative study. Manuscript in preparation.,MSD
AHAN,"Blench, Roger",2007,The Ayere and Ahan languages of Central Nigeria and their affinities. Ms.,JB
AHANTE,"Ntumy, Samuel K.",2002,"Collected field reports on the phonology of Ahanta. Collected Language Notes 23. Legon : Institute of African Studies, University of Ghana.",VV
AHEAVE,"Brown, H.A.",1973,"The Eleman language family. In: K. Franklin (ed.), The Linguistic Situation in the Gulf District and Adjacent Areas, Papua New Guinea. Pacific Linguistics Series C - N. 26, pp. 281-376. Canberra: Department of Linguistics, Research School of Pacific Studies, The Australian National University. 579-583.",
AHLO,"Blench, Roger",n.d.,"GTM wordlists Igo, Wuli, Sele, Siwu. ( http://www.rogerblench.info/Linguistics%20papers%20opening%20page.htm Accessed: 10 Nov 2009.)",VV
AHOM,"Shafer, Robert",1974,Introduction to Sino-Tibetan. Wiesbaden: Otto Harrassowitz.,SW
AHTNA,"Kari, James",1990,Ahtna Athabaskan dictionary. Fairbanks: Alaska Native Language Center.,PB
AI_BANDA,"Stokhof, W. A. L. (ed.)",1982,"Holle lists: Vocabularies in languages of Indonesia 3/3. Central Moluccas: Seram (III). Materials in Languages of Indonesia 15. 153-168. Pacific Linguistics D-49. Canberra: Australian National University, Department of Linguistics.",AKW
AIHUI_MANCHU,??? (Wang Qingfeng),2005,????(?????)(Manyu yanjiu. Minzu Chubanshe.),AM
AIKANA,,,"http://paginas.terra.com.br/educacao/GICLI/Aikana.pdf from Van der Voort, Hein. 2005. Kwaza in a comparative perspective. International Journal of American Linguistics 74.1. 365-412.",CB
AIKLEP,"Chinnery, E. W. P.",1928,"Certain Natives in South New Britain and Dampier Straits (Territory of New Guinea Anthropological Report 3). Melbourne: H. J. Green, Government Printer.",JB
AIKU,"Dryer, Matthew",n.d.,[Data supplied by Matthew Dryer.],SW
AIMELE,"Shaw, R. Daniel",1986,The Bosavi language family. Papers in New Guinea linguistics 24. 45-76. Pacific Linguistics A-70. Canberra: Australian National University.,MD/OB
AIMOL,"Grierson, George A.",1904,Tibeto-Burman Family: Specimens of the Kuki-Chin and Burma groups (Linguistic Survey of India III(III)). Calcutta: Office of the Superintendent of Goverment Printing.,TVV
AINU_ASAHIKAWA,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_BIHORO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_HIRATORI,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_HOROBETSU,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_KUSHIRO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_MAOKA,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_NAIRO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_NAYORO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_NIIKAPPU,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_NUKKIBETSU,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_OBIHIRO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_OCHIHO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_OSHAMAMBE,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_RAICHISHKA,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_SAMANI,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_SARU,,,???????? (Ainu-Japanese Dictionary),AM
AINU_SHIRAURA,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_SOYA,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_TARANTOMARI,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AINU_YAKUMO,"Hattori, Shiro and Mashiho Chiri",1960,A Lexicostatistic Study on the Ainu Dialects. Minzokugaku-kenkyu 24/4. 307-342.,
AIOME,"Z'graggen, John A.",1972,"Comparative Wordlist of the Ramu language group, New Guinea. Alexishafen: Anthropos Institute.",MSD
AIRORAN,"Stokhof, W. A. L.",1983,"Holle Lists: Vocabularies in Languages of Indonesia, Vol.5/2: Irian Jaya: Papuan Languages, Northern Languages, Central Highlands Languages (Pacific Linguistics: Series D 53). Research School of Pacific and Asian Studies, The Australian National University.",MSD
AISHUO_WA,"Zhou Zhizhi, Yan Qixiang, and Chen Guoqing",2004,(Survey of the dialects of the Wa language). Beijing: Minzu Chubanshe. [In Chinese.],AM
AIZI,"Marchese, Lynell.",1983,"Listes de lexemes Kru. In Atlas linguistique Kru: essay de typologie, 323-405. 3rd edn. Abidjan: Agence de Coope?ration Culturelle et Technique (ACCT).",TVV
AIZI_TIAGBAMRIN,"Marchese, Lynell",1983,"Atlas linguistique kru: essai de typologie. Abidjan: Institut de Linguistique Appliquée (ILA), Université d’Abidjan, ACCT.",SW/GS
AJA,"Santandrea, P. Stefano",1976,"The Kresh group, Aja and Baka languages (Sudan): A linguistic contribution. Napoli: Instituto Universitario Orientale.",ZM
AJA_GBE,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
AJAGBE,"Morley, Eric A.",2010,A Grammar of Ajagbe (Languages of the World/Materials 480). München: Lincom.,TVV
AJIE,"Tryon, Darrell T. (ed.)",1995,Comparative Austronesian Dictionary. Berlin: Mouton de Gruyter.,VV
AJYININKA_APURUCAYALI,"Payne, David L.",1980,Diccionário asheninka-castellano. Documentos de trabajo 18. Peru: Summer Institute of Linguistics.,
AK,"Laycock, Donald C.",n.d.,"Notebook D9: Selected Research Papers of Don Laycock on Languages in Papua New Guinea: Namie, Ak, Awun. Don Laycock (compiler). Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC). paradisec.org.au/repository/DL2/items/020.",MSD
